identifier,phrog,product,function
phage_0110,p-24456,tail fiber protein,tail
phage_0111,p-8689,pilot protein for DNA ejection,tail
phage_0112,p-45,tail tube,tail
phage_0113,p-19519,neck protein,connector
phage_0114,p-1687,MarR family transcrition regulator,transcription regulation
phage_0115,p-12229,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism"
phage_0116,p-26778,,unknown function
phage_0117,p-2205,Mu Gam-like end protection,"DNA, RNA and nucleotide metabolism"
phage_0118,p-22502,methyltransferase,other
phage_0119,p-1379,,unknown function
phage_0120,p-443,holin,lysis
phage_0121,p-11011,long tail fiber protein distal subunit,tail
phage_0122,p-687,structural protein,head and packaging
phage_0123,p-250,,unknown function
phage_0124,p-5668,tail fiber protein,tail
phage_0125,p-6417,translational regulator,other
phage_0126,p-5668,tail fiber protein,tail
phage_0127,p-315,endolysin,lysis
phage_0128,p-379,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0129,p-144,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0130,p-1,integrase,integration and excision
phage_0131,p-1887,tail protein,tail
phage_0132,p-13512,transcriptional regulator,transcription regulation
phage_0133,p-9589,endolysin,lysis
phage_0134,p-344,tail assembly chaperone,tail
phage_0135,p-239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_0136,p-15127,head protein,head and packaging
phage_0137,p-7458,tail spike protein,tail
phage_0138,p-13289,tail protein,tail
phage_0139,p-18788,,unknown function
phage_0140,p-457,tail protein,tail
phage_0141,p-314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0142,p-7356,,unknown function
phage_0143,p-237,head scaffolding protein,head and packaging
phage_0144,p-938,endolysin,lysis
phage_0145,p-10093,tail length tape measure protein,tail
phage_0146,p-1706,CRISPR/Cas system associated,"DNA, RNA and nucleotide metabolism"
phage_0147,p-1271,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0148,p-2871,tail protein,tail
phage_0149,p-4441,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0150,p-84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_0151,p-138,major head protein,head and packaging
phage_0152,p-472,WhiB transcriptional factor,transcription regulation
phage_0153,p-3180,Arc-like repressor,transcription regulation
phage_0154,p-305,tail length tape measure protein,tail
phage_0155,p-4,transcriptional repressor,transcription regulation
phage_0156,p-789,esterase/lipase,other
phage_0157,p-20922,head morphogenesis,head and packaging
phage_0158,p-114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism"
phage_0159,p-1227,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0160,p-169,tail completion or Neck1 protein,connector
phage_0161,p-2579,ParB C-terminal domain,"DNA, RNA and nucleotide metabolism"
phage_0162,p-4704,tail length tape measure protein,tail
phage_0163,p-4225,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0164,p-27166,tail length tape measure protein,tail
phage_0165,p-836,late transcriptional activator,transcription regulation
phage_0166,p-405,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0167,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_0168,p-10030,tail length tape measure protein,tail
phage_0169,p-25788,tail fiber protein,tail
phage_0170,p-6651,internal virion protein,head and packaging
phage_0171,p-3041,cytidyltransferase,other
phage_0172,p-185,tail tube protein,tail
phage_0173,p-1644,minor coat protein,head and packaging
phage_0174,p-27126,neck protein,connector
phage_0175,p-159,RuvC-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0176,p-161,head closure Hc1,connector
phage_0177,p-144,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0178,p-62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0179,p-1062,,unknown function
phage_0180,p-2076,QueE-like  radical SAM domain,"moron, auxiliary metabolic gene and host takeover"
phage_0181,p-474,phosphofructokinase,other
phage_0182,p-174,dCMP deaminase,"DNA, RNA and nucleotide metabolism"
phage_0183,p-1539,Arc-like repressor,transcription regulation
phage_0184,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_0185,p-9483,tail length tape measure protein,tail
phage_0186,p-1706,CRISPR/Cas system associated,"DNA, RNA and nucleotide metabolism"
phage_0187,p-458,protease,other
phage_0188,p-6201,CI-like repressor,transcription regulation
phage_0189,p-456,Rz-like spanin,lysis
phage_0190,p-1642,virion structural protein,head and packaging
phage_0191,p-30742,tail fiber protein,tail
phage_0192,p-3305,virion structural protein,head and packaging
phage_0193,p-13,Rz-like spanin,lysis
phage_0194,p-385,transcriptional regulator,transcription regulation
phage_0195,p-353,toxin,"moron, auxiliary metabolic gene and host takeover"
phage_0196,p-7348,endolysin,lysis
phage_0197,p-9483,tail length tape measure protein,tail
phage_0198,p-90,endolysin,lysis
phage_0199,p-5448,tail length tape measure protein,tail
phage_0200,p-664,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0201,p-1015,tail protein with lysin activity,tail
phage_0202,p-11189,NAD synthetase,other
phage_0203,p-38027,transcriptional repressor,transcription regulation
phage_0204,p-1689,nucleotide kinase,other
phage_0205,p-1740,RNA polymerase sigma factor,transcription regulation
phage_0206,p-2448,,unknown function
phage_0207,p-2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0208,p-677,baseplate wedge tail fiber protein connector,tail
phage_0209,p-24456,tail fiber protein,tail
phage_0210,p-130,anti-repressor Ant,transcription regulation
phage_0211,p-206,head scaffolding protein,head and packaging
phage_0212,p-12,portal protein,head and packaging
phage_0213,p-582,Arc-like repressor,transcription regulation
phage_0214,p-13289,tail protein,tail
phage_0215,p-156,portal protein,head and packaging
phage_0216,p-2899,anti-repressor Ant,transcription regulation
phage_0217,p-7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism"
phage_0218,p-86,ribonucleoside diphosphate reductase small subunit,"DNA, RNA and nucleotide metabolism"
phage_0219,p-283,major head protein,head and packaging
phage_0220,p-18345,tail fiber protein,tail
phage_0221,p-16122,virion structural protein,head and packaging
phage_0222,p-1721,galactosyl transferase,"moron, auxiliary metabolic gene and host takeover"
phage_0223,p-17526,,unknown function
phage_0224,p-4201,tail fiber protein,tail
phage_0225,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0226,p-9270,tyrosyl-tRNA synthetase,"DNA, RNA and nucleotide metabolism"
phage_0227,p-8463,transposase,integration and excision
phage_0228,p-9959,tail length tape measure protein,tail
phage_0229,p-309,terminase small subunit,head and packaging
phage_0230,p-456,Rz-like spanin,lysis
phage_0231,p-2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0232,p-1887,tail protein,tail
phage_0233,p-213,portal protein,head and packaging
phage_0234,p-205,tail sheath,tail
phage_0235,p-473,virion structural protein,head and packaging
phage_0236,p-6447,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0237,p-57,terminase small subunit,head and packaging
phage_0238,p-33693,portal protein,head and packaging
phage_0239,p-4708,head scaffolding protein,head and packaging
phage_0240,p-6977,minor tail protein,tail
phage_0241,p-8841,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_0242,p-67,DNA methyltransferase,other
phage_0243,p-1400,Srd anti-sigma factor,"moron, auxiliary metabolic gene and host takeover"
phage_0244,p-17744,baseplate wedge subunit,tail
phage_0245,p-111,DNA methyltransferase,other
phage_0246,p-5653,terminase large subunit,head and packaging
phage_0247,p-3188,co-chaperonin GroES,other
phage_0248,p-213,portal protein,head and packaging
phage_0249,p-3281,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0250,p-11271,head morphogenesis,head and packaging
phage_0251,p-2198,Alt-like transcription activator,transcription regulation
phage_0252,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_0253,p-606,terminase small subunit,head and packaging
phage_0254,p-372,tail protein,tail
phage_0255,p-328,head maturation protease,head and packaging
phage_0256,p-9017,tail fiber protein,tail
phage_0257,p-6745,endolysin,lysis
phage_0258,p-17744,baseplate wedge subunit,tail
phage_0259,p-8125,tail length tape measure protein,tail
phage_0260,p-1358,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover"
phage_0261,p-207,head maturation protease,head and packaging
phage_0262,p-1037,virion structural protein,head and packaging
phage_0263,p-107,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0264,p-2443,amidoligase enzyme,other
phage_0265,p-2081,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0266,p-22474,endolysin,lysis
phage_0267,p-2536,Rz-like spanin,lysis
phage_0268,p-14260,tail protein,tail
phage_0269,p-2658,hol-like chemotaxis,other
phage_0270,p-885,major tail protein,tail
phage_0271,p-4412,exonuclease V,"DNA, RNA and nucleotide metabolism"
phage_0272,p-10030,tail length tape measure protein,tail
phage_0273,p-6651,internal virion protein,head and packaging
phage_0274,p-2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0275,p-991,tail length tape measure protein,tail
phage_0276,p-2568,ocr-like anti-restriction,"moron, auxiliary metabolic gene and host takeover"
phage_0277,p-418,internal virion protein,head and packaging
phage_0278,p-11,baseplate spike,tail
phage_0279,p-22602,virion structural protein,head and packaging
phage_0280,p-8008,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0281,p-2520,gamma-glutamyl cyclotransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0282,p-1373,transcriptional regulator,transcription regulation
phage_0283,p-236,nucleotide kinase,other
phage_0284,p-7686,Rz-like spanin,lysis
phage_0285,p-149,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0286,p-2599,ribosomal protein S6 glutaminyl transferase,"moron, auxiliary metabolic gene and host takeover"
phage_0287,p-3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover"
phage_0288,p-10931,,unknown function
phage_0289,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_0290,p-4704,tail length tape measure protein,tail
phage_0291,p-16120,virion structural protein,head and packaging
phage_0292,p-1740,RNA polymerase sigma factor,transcription regulation
phage_0293,p-2328,transcriptional repressor,transcription regulation
phage_0294,p-7,endolysin,lysis
phage_0295,p-693,tail fiber protein,tail
phage_0296,p-2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0297,p-236,nucleotide kinase,other
phage_0298,p-6616,tail protein,tail
phage_0299,p-7121,tail fiber protein,tail
phage_0300,p-9570,tail length tape measure protein,tail
phage_0301,p-403,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_0302,p-4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism"
phage_0303,p-13352,minor tail protein,tail
phage_0304,p-181,endolysin,lysis
phage_0305,p-156,portal protein,head and packaging
phage_0306,p-147,transcriptional regulator,transcription regulation
phage_0307,p-18345,tail fiber protein,tail
phage_0308,p-21712,major head protein,head and packaging
phage_0309,p-38390,tail length tape measure protein,tail
phage_0310,p-290,minor tail protein,tail
phage_0311,p-1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism"
phage_0312,p-24831,,unknown function
phage_0313,p-12,portal protein,head and packaging
phage_0314,p-2506,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0315,p-24898,tail fiber protein,tail
phage_0316,p-13892,minor tail protein,tail
phage_0317,p-4629,HTH DNA binding domain protein,"DNA, RNA and nucleotide metabolism"
phage_0318,p-314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0319,p-24456,tail fiber protein,tail
phage_0320,p-181,endolysin,lysis
phage_0321,p-29879,galactosyl transferase,"moron, auxiliary metabolic gene and host takeover"
phage_0322,p-221,metallo-phosphoesterase,other
phage_0323,p-17230,tail fiber protein/ lysozyme,tail
phage_0324,p-11693,pilot protein for DNA ejection,tail
phage_0325,p-4900,tail protein,tail
phage_0326,p-10439,head scaffolding protein,head and packaging
phage_0327,p-1216,portal protein,head and packaging
phage_0328,p-3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0329,p-25862,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0330,p-207,head maturation protease,head and packaging
phage_0331,p-11021,,unknown function
phage_0332,p-66,excisionase and transcriptional regulator,integration and excision
phage_0333,p-231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_0334,p-12,portal protein,head and packaging
phage_0335,p-308,internal virion protein,head and packaging
phage_0336,p-2617,short tail fiber protein,tail
phage_0337,p-1975,superoxide dismutase precursor,"moron, auxiliary metabolic gene and host takeover"
phage_0338,p-1160,baseplate protein,tail
phage_0339,p-1247,MazG-like pyrophosphatase,other
phage_0340,p-435,endolysin,lysis
phage_0341,p-1419,tail protein,tail
phage_0342,p-6942,tail fiber protein,tail
phage_0343,p-97,UvsX-like recombinase,other
phage_0344,p-3593,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0345,p-293,ABC transporter,"moron, auxiliary metabolic gene and host takeover"
phage_0346,p-498,DNA methyltransferase,other
phage_0347,p-4704,tail length tape measure protein,tail
phage_0348,p-24456,tail fiber protein,tail
phage_0349,p-18293,methyltransferase,other
phage_0350,p-764,cytidyltransferase,other
phage_0351,p-3267,tail protein,tail
phage_0352,p-14138,minor tail protein,tail
phage_0353,p-855,,unknown function
phage_0354,p-9483,tail length tape measure protein,tail
phage_0355,p-76,tail protein,tail
phage_0356,p-23178,peptidase,other
phage_0357,p-1716,tail length tape measure protein,tail
phage_0358,p-2662,portal protein,head and packaging
phage_0359,p-473,virion structural protein,head and packaging
phage_0360,p-598,DNA ejection,"DNA, RNA and nucleotide metabolism"
phage_0361,p-2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0362,p-18345,tail fiber protein,tail
phage_0363,p-891,terminase small subunit,head and packaging
phage_0364,p-214,Rz-like spanin,lysis
phage_0365,p-16,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0366,p-7013,,unknown function
phage_0367,p-22609,tail fiber protein,tail
phage_0368,p-754,minor tail protein,tail
phage_0369,p-1942,tail length tape measure protein,tail
phage_0370,p-193,head maturation protease,head and packaging
phage_0371,p-324,head morphogenesis,head and packaging
phage_0372,p-1044,endolysin,lysis
phage_0373,p-2723,tail length tape measure protein,tail
phage_0374,p-991,tail length tape measure protein,tail
phage_0375,p-9570,tail length tape measure protein,tail
phage_0376,p-21992,esterase/lipase,other
phage_0377,p-10499,,unknown function
phage_0378,p-17587,tail fiber protein,tail
phage_0379,p-3810,acetyltransferase,other
phage_0380,p-23178,peptidase,other
phage_0381,p-184,baseplate hub,tail
phage_0382,p-16465,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0383,p-2,terminase large subunit,head and packaging
phage_0384,p-72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_0385,p-18104,transcriptional regulator,transcription regulation
phage_0386,p-2506,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0387,p-4217,tail protein,tail
phage_0388,p-2234,tail spike protein,tail
phage_0389,p-83,terminase small subunit,head and packaging
phage_0390,p-367,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism"
phage_0391,p-22681,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0392,p-4211,tail length tape measure protein,tail
phage_0393,p-942,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0394,p-3377,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0395,p-3037,transcriptional repressor,transcription regulation
phage_0396,p-17587,tail fiber protein,tail
phage_0397,p-21992,esterase/lipase,other
phage_0398,p-4219,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism"
phage_0399,p-16766,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism"
phage_0400,p-5281,,unknown function
phage_0401,p-17587,tail fiber protein,tail
phage_0402,p-11130,,unknown function
phage_0403,p-6651,internal virion protein,head and packaging
phage_0404,p-67,DNA methyltransferase,other
phage_0405,p-27166,tail length tape measure protein,tail
phage_0406,p-31272,pilot protein for DNA ejection,tail
phage_0407,p-24759,methyltransferase,other
phage_0408,p-5668,tail fiber protein,tail
phage_0409,p-9570,tail length tape measure protein,tail
phage_0410,p-206,head scaffolding protein,head and packaging
phage_0411,p-1482,terminase small subunit,head and packaging
phage_0412,p-4067,transglycosylase,other
phage_0413,p-2669,baseplate protein,tail
phage_0414,p-24676,tail length tape measure protein,tail
phage_0415,p-274,DNA endonuclease V,"DNA, RNA and nucleotide metabolism"
phage_0416,p-6700,endolysin,lysis
phage_0417,p-2967,transcriptional regulator,transcription regulation
phage_0418,p-166,tail protein,tail
phage_0419,p-180,baseplate wedge subunit,tail
phage_0420,p-15651,tail fiber protein,tail
phage_0421,p-250,,unknown function
phage_0422,p-3287,virion structural protein,head and packaging
phage_0423,p-2837,tail protein,tail
phage_0424,p-645,Rnase E,"DNA, RNA and nucleotide metabolism"
phage_0425,p-144,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0426,p-6616,tail protein,tail
phage_0427,p-971,endolysin,lysis
phage_0428,p-9729,tail fiber protein,tail
phage_0429,p-4728,head morphogenesis,head and packaging
phage_0430,p-4211,tail length tape measure protein,tail
phage_0431,p-26,tail completion or Neck1 protein,connector
phage_0432,p-9474,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0433,p-4,transcriptional repressor,transcription regulation
phage_0434,p-16143,DNA methyltransferase,other
phage_0435,p-991,tail length tape measure protein,tail
phage_0436,p-25867,tail protein,tail
phage_0437,p-15,terminase large subunit,head and packaging
phage_0438,p-4704,tail length tape measure protein,tail
phage_0439,p-59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0440,p-430,baseplate hub subunit and tail lysozyme,tail
phage_0441,p-445,terminase small subunit,head and packaging
phage_0442,p-25773,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0443,p-944,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0444,p-12161,,unknown function
phage_0445,p-2328,transcriptional repressor,transcription regulation
phage_0446,p-3779,tail length tape measure protein,tail
phage_0447,p-16989,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0448,p-14557,,unknown function
phage_0449,p-10030,tail length tape measure protein,tail
phage_0450,p-6578,tail fiber protein,tail
phage_0451,p-5687,,unknown function
phage_0452,p-1645,virion structural protein,head and packaging
phage_0453,p-9483,tail length tape measure protein,tail
phage_0454,p-152,RinB-like transcriptional activator,transcription regulation
phage_0455,p-452,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0456,p-15746,internal virion protein,head and packaging
phage_0457,p-66,excisionase and transcriptional regulator,integration and excision
phage_0458,p-18522,tail protein,tail
phage_0459,p-3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0460,p-4752,tRNA methyltransferase,other
phage_0461,p-2006,major head protein,head and packaging
phage_0462,p-588,tail fiber protein and host specificity,tail
phage_0463,p-323,"transcriptional regulator, D5-like",transcription regulation
phage_0464,p-4704,tail length tape measure protein,tail
phage_0465,p-1328,major head protein,head and packaging
phage_0466,p-1204,tail protein,tail
phage_0467,p-13163,baseplate wedge subunit,tail
phage_0468,p-23570,virion structural protein,head and packaging
phage_0469,p-5668,tail fiber protein,tail
phage_0470,p-31,central tail fiber J,tail
phage_0471,p-15525,minor tail protein,tail
phage_0472,p-38,terminase large subunit,head and packaging
phage_0473,p-442,head-tail adaptor,connector
phage_0474,p-1218,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0475,p-13989,virion structural protein,head and packaging
phage_0476,p-237,head scaffolding protein,head and packaging
phage_0477,p-16826,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0478,p-30152,virion structural protein,head and packaging
phage_0479,p-2331,transposase,integration and excision
phage_0480,p-3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0481,p-9690,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0482,p-5034,NinG/ Rap DNA junction specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0483,p-1198,MutT/NUDIX hydrolase,other
phage_0484,p-5702,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0485,p-58,tail length tape measure protein,tail
phage_0486,p-22609,tail fiber protein,tail
phage_0487,p-3339,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0488,p-99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0489,p-323,"transcriptional regulator, D5-like",transcription regulation
phage_0490,p-8369,hol-like chemotaxis,other
phage_0491,p-26246,tail protein,tail
phage_0492,p-18522,tail protein,tail
phage_0493,p-19421,head decoration,head and packaging
phage_0494,p-83,terminase small subunit,head and packaging
phage_0495,p-5304,peptidase,other
phage_0496,p-3322,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0497,p-10356,virion structural protein,head and packaging
phage_0498,p-938,endolysin,lysis
phage_0499,p-306,minor head protein Ace-like,head and packaging
phage_0500,p-737,minor tail protein,tail
phage_0501,p-305,tail length tape measure protein,tail
phage_0502,p-95,integrase,integration and excision
phage_0503,p-4,transcriptional repressor,transcription regulation
phage_0504,p-7168,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0505,p-1292,tail length tape measure protein,tail
phage_0506,p-351,RNA polymerase sigma factor,transcription regulation
phage_0507,p-172,head scaffolding protein,head and packaging
phage_0508,p-72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_0509,p-23178,peptidase,other
phage_0510,p-7308,cation efflux protein,"moron, auxiliary metabolic gene and host takeover"
phage_0511,p-937,hemolysin,other
phage_0512,p-598,DNA ejection,"DNA, RNA and nucleotide metabolism"
phage_0513,p-5520,,unknown function
phage_0514,p-430,baseplate hub subunit and tail lysozyme,tail
phage_0515,p-1,integrase,integration and excision
phage_0516,p-18345,tail fiber protein,tail
phage_0517,p-1907,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0518,p-11693,pilot protein for DNA ejection,tail
phage_0519,p-315,endolysin,lysis
